japanese,romaji,english,jlpt,pos,example_jp,example_en,notes
簡単,kantan,Simple / easy,N4,adjective(na),簡単な問題です。,It's a simple problem.,na-adjective
複雑,fukuzatsu,Complicated,N3,adjective(na),複雑な状況です。,It's a complicated situation.,na-adjective
重要,juuyou,Important,N3,adjective(na),重要な会議です。,It's an important meeting.,na-adjective
必要,hitsuyou,Necessary,N3,adjective(na),日本語が必要です。,Japanese is necessary.,Common
十分,juubun,Enough / sufficient,N3,adjective(na),十分な時間があります。,There is enough time.,Common
不十分,fujuubun,Insufficient,N3,adjective(na),準備が不十分でした。,Preparation was insufficient.,Common
適切,tekisetsu,Appropriate,N3,adjective(na),適切な対応をしました。,I took appropriate action.,Formal
正確,seikaku,Accurate / precise,N3,adjective(na),正確な情報です。,It's accurate information.,Formal
普通,futsuu,Normal / ordinary,N3,adjective(na),普通の生活をしています。,I live an ordinary life.,Common
特別,tokubetsu,Special,N3,adjective(na),特別なお願いです。,It's a special request.,Common
急ぐ,isogu,To hurry,N3,verb,急いでください。,Please hurry.,Common
慌てる,awateru,To panic,N3,verb,慌てないでください。,Please don't panic.,Common
落ち着く,ochitsuku,To calm down,N3,verb,落ち着いてください。,Please calm down.,Common
驚く,odoroku,To be surprised,N3,verb,そのニュースに驚きました。,I was surprised by that news.,Emotion
喜ぶ,yorokobu,To be glad,N3,verb,プレゼントを喜びました。,He was glad about the gift.,Emotion
怒る,okoru,To get angry,N3,verb,彼は怒っています。,He is angry.,Emotion
泣く,naku,To cry,N3,verb,赤ちゃんが泣いています。,The baby is crying.,Common
笑う,warau,To laugh / smile,N3,verb,皆が笑いました。,Everyone laughed.,Common
驚き,odoroki,Surprise,N3,noun,驚きの結果でした。,It was a surprising result.,Emotion
喜び,yorokobi,Joy / gladness,N3,noun,喜びを感じます。,I feel joy.,Emotion
悲しみ,kanashimi,Sadness,N3,noun,深い悲しみを感じます。,I feel deep sadness.,Emotion
恐れ,osore,Fear / dread,N3,noun,失敗の恐れがあります。,There is fear of failure.,Emotion
夢,yume,Dream,N3,noun,昨日変な夢を見ました。,I had a strange dream yesterday.,Common
希望,kibou,Hope,N3,noun,希望を持っています。,I have hope.,Common
目標,mokuhyou,Goal,N3,noun,目標を達成しました。,I achieved my goal.,Common
計画,keikaku,Plan,N3,noun,計画を立てました。,I made a plan.,Common
予想,yosou,Prediction / forecast,N3,noun,予想通りでした。,It was as predicted.,Common
予定通り,yoteidoori,As scheduled,N3,adverb,予定通りに進みます。,Proceed as scheduled.,Business
思い出,omoide,Memory / recollection,N3,noun,いい思い出になりました。,It became a good memory.,Sentimental
記念,kinen,Commemoration,N3,noun,記念写真を撮りました。,We took a commemorative photo.,Common
記録,kiroku,Record / log,N3,noun,記録を更新しました。,I broke the record.,Sports / data
表現,hyougen,Expression,N3,noun,日本語の表現は難しい。,Japanese expressions are difficult.,Language
発音,hatsuon,Pronunciation,N3,noun,発音が上手です。,Your pronunciation is good.,Language
意味する,imisuru,To mean,N3,verb,この記号は何を意味しますか。,What does this symbol mean?,Common
表す,arawasu,To express / show,N3,verb,気持ちを表します。,I express my feelings.,Common
集める,atsumeru,To collect / gather,N3,verb,情報を集めます。,I gather information.,Common
集まる,atsumaru,To gather (intransitive),N3,verb,皆が集まりました。,Everyone gathered.,Common
別れる,wakareru,To separate / part,N3,verb,駅で別れました。,We parted at the station.,Common
出会う,deau,To meet (encounter),N3,verb,旅行で出会いました。,We met during the trip.,Common
通る,tooru,To pass through,N3,verb,この道を通ります。,I pass through this road.,Common
通う,kayou,To commute,N3,verb,毎日学校に通います。,I commute to school every day.,Common
迎える,mukaeru,To welcome / pick up,N3,verb,空港で迎えます。,I'll pick you up at the airport.,Common
送る,okuru,To send / see off,N3,verb,駅まで送ります。,I'll see you off to the station.,Common
持つ,motsu,To hold / have,N5,verb,カバンを持っています。,I'm holding a bag.,Common
止める,tomeru,To stop (transitive),N4,verb,車を止めます。,I stop the car.,Common
動く,ugoku,To move,N4,verb,電車が動きました。,The train moved.,Common
変わる,kawaru,To change (intransitive),N4,verb,景色が変わりました。,The scenery changed.,Common
変える,kaeru,To change (transitive),N4,verb,予定を変えます。,I change my plans.,Common
増える,fueru,To increase,N3,verb,お客様が増えました。,Customers increased.,Common
減る,heru,To decrease,N3,verb,人口が減っています。,The population is decreasing.,Common
