japanese,romaji,english,jlpt,pos,example_jp,example_en,notes
離婚,rikon,Divorce,N4,noun,両親が離婚しました。,My parents divorced.,Life event
誕生日,tanjoubi,Birthday,N5,noun,お誕生日おめでとう。,Happy birthday.,Greeting
パーティー,paatii,Party,N5,noun,パーティーに行きました。,I went to a party.,Loanword
プレゼント,purezento,Present / gift,N5,noun,プレゼントをもらいました。,I received a gift.,Loanword
写真,shashin,Photograph,N5,noun,写真を撮りましょう。,Let's take a photo.,Common
動画,douga,Video,N4,noun,動画を見ました。,I watched a video.,Modern
音楽,ongaku,Music,N5,noun,音楽を聞きます。,I listen to music.,Common
映画,eiga,Movie,N5,noun,映画館に行きました。,I went to the cinema.,Common
本,hon,Book,N5,noun,本を読みます。,I read a book.,Common
雑誌,zasshi,Magazine,N5,noun,雑誌を買いました。,I bought a magazine.,Print media
新聞,shinbun,Newspaper,N5,noun,毎朝新聞を読みます。,I read the newspaper every morning.,Print media
ニュース,nyuusu,News,N4,noun,ニュースを見ました。,I watched the news.,Loanword
天気予報,tenkiyohou,Weather forecast,N4,noun,天気予報を見ましょう。,Let's check the weather forecast.,Daily
晴れ,hare,Sunny,N5,noun,今日は晴れです。,Today is sunny.,Weather
雨,ame,Rain,N5,noun,雨が降っています。,It's raining.,Weather
雪,yuki,Snow,N5,noun,雪が降りました。,It snowed.,Weather
風,kaze,Wind,N5,noun,風が強いです。,The wind is strong.,Weather
台風,taifuu,Typhoon,N4,noun,台風が来ます。,A typhoon is coming.,Weather
地震,jishin,Earthquake,N4,noun,昨日地震がありました。,There was an earthquake yesterday.,Disaster
火事,kaji,Fire (disaster),N4,noun,火事に気をつけて。,Be careful of fires.,Disaster
病院,byouin,Hospital,N5,noun,病院に行きます。,I'm going to the hospital.,Common
薬,kusuri,Medicine,N5,noun,薬を飲みました。,I took medicine.,Health
医者,isha,Doctor,N5,noun,医者になりたい。,I want to become a doctor.,Job
病気,byouki,Illness,N5,noun,病気で休みました。,I rested due to illness.,Common
熱,netsu,Fever / heat,N5,noun,熱があります。,I have a fever.,Health
頭痛,zutsuu,Headache,N4,noun,頭痛がします。,I have a headache.,Health
お腹,onaka,Stomach / belly,N5,noun,お腹がすきました。,I'm hungry.,Common
喉,nodo,Throat,N4,noun,喉が痛いです。,My throat hurts.,Health
目,me,Eye,N5,noun,目が痛い。,My eyes hurt.,Body
耳,mimi,Ear,N5,noun,耳が聞こえない。,I can't hear.,Body
鼻,hana,Nose,N5,noun,鼻が高い。,The nose is high (figuratively: proud).,Body / idiom
口,kuchi,Mouth,N5,noun,口を開けてください。,Please open your mouth.,Body
手,te,Hand,N5,noun,手を洗いましょう。,Let's wash our hands.,Body
足,ashi,Foot / leg,N5,noun,足が痛いです。,My foot hurts.,Body
